"t","rx","ry","rz","theta","phi"
"27/5",-0.9756689724464932,0.214242447220931,0.046529719703483685,1.5242498011241787,2.925438052350277
"65/12",-0.9921477438963461,0.11155762413632525,0.05651328764865721,1.5142529142630936,3.0296224123450153
"163/30",-0.9977048798709054,0.007826416983683498,0.06726994592984253,1.5034755417653667,3.1337483936139114
"109/20",-0.9922807467689995,-0.09579093487610942,0.07873017841138003,1.4919845866170993,-3.045354746775428
"82/15",-0.9759554160943275,-0.19813556575267544,0.09082202582080423,1.4798489755155666,-2.9412977978199284
"329/60",-0.9489225782625106,-0.2980633162232442,0.10346847152524685,1.4671423426580061,-2.8372443391082176
"11/2",-0.911487496533525,-0.39445410211640225,0.11658767827825328,1.4539428964599583,-2.733168753395782
"331/60",-0.8640877070689725,-0.4862323799173612,0.13009712221437197,1.440329393014648,-2.6290422880855635
"83/15",-0.8072666730841808,-0.5723734408639445,0.14391103411015338,1.4263838631512262,-2.5248343091047043
"111/20",-0.7416643713596348,-0.6519094842720751,0.1579398981739234,1.4121923109555459,-2.420511920240673
"167/30",-0.668031644434611,-0.7239552959862126,0.1720952807620913,1.397840035936716,-2.316040670556523
"67/12",-0.5872065568125522,-0.7877093777075993,0.18628764779588775,1.3834140375497044,-2.2113860889977737
"28/5",-0.5000998384503141,-0.8424535212597072,0.20042490519606415,1.3690047197449955,-2.1065137075126454
"337/60",-0.4077006304509432,-0.8875806050592288,0.21441767295654807,1.354700729275538,-2.0013895970183246
"169/30",-0.31105661003736723,-0.9225934343643927,0.2281778592549477,1.3405905678736558,-1.8959820596189805
"113/20",-0.2112577797327,-0.9470959134542647,0.24161606116918388,1.3267654162689901,-1.7902620407637515
"17/3",-0.10943323053042037,-0.9608190663461216,0.2546469523153955,1.3133137241239898,-1.6842034034476197
"341/60",-0.0067341378983128974,-0.9636201967850184,0.26718899972514565,1.3003215322977386,-1.5777845865866094
"57/10",0.09568008191898564,-0.9554655348223028,0.2791606259378683,1.2878764542204113,-1.470989307677134
"343/60",0.1966523973727306,-0.9364508372651101,0.2904853261893516,1.276062331269484,-1.3638064628823876
"86/15",0.2950445300578066,-0.9068021630116023,0.30109284856221363,1.2649578495064926,-1.2562314967725154
"23/4",0.3897447872623222,-0.8668517275480574,0.31091413982481103,1.254641636467754,-1.1482671733967422
"173/30",0.47968292314108163,-0.8170505986144425,0.31988579896445585,1.2451873763343728,-1.0399229339688196
"347/60",0.5638483726295707,-0.7579705738816047,0.3279529037300844,1.2366605099498444,-0.9312157051032912
"29/5",0.6412896705110944,-0.6902764519897575,0.33506291063136323,1.2291243272515893,-0.8221704262962898
"349/60",0.7111296036475467,-0.6147300746420572,0.3411690905450262,1.2226359987496849,-0.7128186886630434
"35/6",0.7725869196816533,-0.5321911804638721,0.34623498919635987,1.2172414487863015,-0.6031988101117042
"117/20",0.8249667671906801,-0.44358999472667116,0.35022760825127974,1.2129822355230218,-0.49335585808631155
"88/15",0.8676723185588476,-0.3499237342699191,0.3531195520935118,1.2098929551260758,-0.38333952592910264
"353/60",0.9002298080178365,-0.2522535300838225,0.35489488232724486,1.2079946985207504,-0.2732035650454252
"59/10",0.9222714119172631,-0.15168091559896787,0.35554205021169777,1.207302379889938,-0.16300527609161278
"71/12",0.9335404826306481,-0.04933946146966618,0.3550546007805026,1.2078238539680606,-0.05280284972856793
"89/15",0.933917753289749,0.05361469454101908,0.35343795617123125,1.209552604598662,0.057345425613218245
"119/20",0.9233996877914139,0.15602022865197102,0.35070268111100694,1.2124749910697397,0.16738195140836198
"179/30",0.9020959335334173,0.25672023564583785,0.3468637075254738,1.2165711960459125,0.2772524859467191
"359/60",0.8702531156612991,0.3545789917428448,0.341947430340244,1.221807854849345,0.38690668822028773
6,0.8282323234023772,0.44849295873277717,0.33598592147154527,1.2281445183161677,0.496298698768783
"361/60",0.7764989626868731,0.5373977473987772,0.32901471087848627,1.2355363210349684,0.6053892863571863
"181/30",0.715640569247418,0.6202909762227041,0.321079617025041,1.2439270832076332,0.7141458758403796
"121/20",0.6463462184351283,0.6962385780397027,0.31223236827817,1.2532543518071444,0.8225424928345255
"91/15",0.5693906630360471,0.764375691464069,0.3025270962628315,1.2634534485605835,0.9305611494194997
"73/12",0.48564370669537865,0.8239326453740488,0.29202643376427595,1.2744513810341676,1.0381913658008302
"61/10",0.3960525465061592,0.8742392812515596,0.28079877744814274,1.2861700566603265,1.1454293768708588
"367/60",0.30162347906710907,0.914717517718151,0.2689137666142119,1.2985312490226406,1.252278789568291
"92/15",0.20342216065176277,0.9449065718704324,0.2564473242322835,1.3114515203915862,1.358749848902324
"123/20",0.10255798858395093,0.9644677991900872,0.24348056780930633,1.3248435201787465,1.4648580727428062
"37/6",0.0001673575614056788,0.9731684123778701,0.23009463016248616,1.3386214057887114,1.570624354957723
"371/60",-0.10259390781180155,0.9709021409608656,0.21637447548653593,1.3526968897837532,1.676074286025278
"31/5",-0.20456636377651427,0.9576958254624252,0.20240927008526793,1.3669788351176988,1.7812364901727105
"373/60",-0.3045983722814106,0.9336856689996968,0.18828694071594299,1.3813787298463305,1.8861423456690105
"187/30",-0.4015585737303269,0.8991305522767712,0.17409674535567193,1.3958078957186768,1.990825584891554
"25/4",-0.4943544157182732,0.8544198138064987,0.15993077858222576,1.4101757982795324,2.095320592030808
"94/15",-0.5819356140811877,0.8000450008727193,0.1458786538053921,1.4243952574741754,2.199661857361644
"377/60",-0.6633076736660982,0.7366047032145029,0.13202892957957701,1.4383807766369763,2.303883958407441
"63/10",-0.7375547827106745,0.6648112910076353,0.1184713595010718,1.4520460687688044,2.4080200117332953
"379/60",-0.8038344631250088,0.5854619791060001,0.10529203204098586,1.4653087658953714,2.5121009545892012
"19/3",-0.8613882345487618,0.4994358971221504,0.09257383565261007,1.4780897536207185,2.6161559234056675
"127/20",-0.9095687244753502,0.4076967023131852,0.08039906917194983,1.4903103879625612,2.7202109827832635
"191/30",-0.9478267023718914,0.3112665926758391,0.06884529016460533,1.501896536270431,2.82428836168112
"383/60",-0.9757157748707355,0.21121796015560268,0.057985041188567954,1.5127787428319657,2.9284072009852813
"32/5",-0.9929214470077558,0.10866917168011017,0.04788849749231494,1.5228895065401253,3.0325826353661163
"77/12",-0.9992434846037596,0.00476391867188105,0.038620185273158913,1.5321665346175217,3.1368251643319045
"193/30",-0.9945927804626544,-0.09933909135768941,0.03023817553095931,1.5405535413347464,-3.042043646190441
"129/20",-0.9790187401614979,-0.20247834906144688,0.022796561948189076,1.547997789886297,-2.9376503440265878
"97/15",-0.9526905102237861,-0.30350443599930943,0.016343110306362818,1.5544524888677593,-2.833181870508718
"389/60",-0.9158857518435142,-0.40128840169004093,0.010918076580115899,1.5598780332893565,-2.7286431259050103
"13/2",-0.8690126259313261,-0.4947409892322777,0.006556446336667354,1.5642398334836731,-2.6240421092605968
"391/60",-0.8125925966174581,-0.5828233348523915,0.003286480163130878,1.5675098407155512,-2.519390154091237
"98/15",-0.7472426455493402,-0.6645497467571462,0.0011282680986352545,1.5696680584568823,-2.414700631727385
